facility_name,address,city,state,zip,registry_id,naics_codes,latitude,longitude,npdes_ids,permit_status,is_major,border_facility,active,violations_3yr,dfr_url,design_flow_mgd
CIELO FILING 1,SCOTT AVE AND ESTANCIA BLVD,PARKER,CO,80134,110070742955,,39.450779,-104.780151,COR408537,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110070742955,
CIELO VISTA RANCH,21600 COUNTY RD. M.5,SAN LUIS,CO,81152,110071782138,,37.023889,-105.381111,COR423427,Effluent - Monthly Average Limit,,,Y,5,https://echo.epa.gov/detailed-facility-report?fid = 110071782138,
CIG ILIFF TRAIL DELIVERY PROJECT,N BRICK CENTER RD & N OF ILIFF TRAIL INTERSECTION,TOWN OF BENNETT,CO,80102,110071993320,,39.67638,-104.45357,COG604477,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071993320,
CIMARRON CREEK LOOP,2845 CIMARRON CREEK DR,MONTROSE,CO,81401,110070837693,,38.494917,-107.879076,COR409978,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110070837693,
CIMARRON CREEK MHP PHASE 6,901 6530 ROAD,MONTROSE,CO,81401,110069472573,,38.4987,-107.87577,COR03P978 COR419124,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110069472573,
CIMARRON ENERGY INC,1400 42 ST,EVANS,CO,80620,110069995723,333132,40.37012,-104.69904,CONOX0266 COR901319,Violation Identified,,,Y,2,https://echo.epa.gov/detailed-facility-report?fid = 110069995723,
CIMARRON ESTATES,800 FEET NORTHWEST OF B1/2 ROAD AND CALLIE ST,GRAND JUNCTION,CO,81503,110071336441,,39.042245,-108.562319,COR417955,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071336441,
CIMARRON ESTATES - SENERGY BUILDERS,260 FT E OF THE B 1/2 RD AND LINDEN AVE,GRAND JUNCTION,CO,81503,110071781904,,39.04123,-108.55603,COR423577,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071781904,
CIMARRON ESTATES - TREYTYN HOMES,1140 FEET NORTHWEST OF THE B 1/2 ROAD AND CALLIE S,GRAND JUNCTION,CO,81503,110071955197,,39.04323,-108.562854,COR427596,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071955197,
CIMARRON FIELD SVCS OPERATION,3805 CARSON RD,EVANS,CO,80620,110071504657,,40.37637,-104.692187,CONOX0868,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071504657,
CIMARRON HILLS SOUTHEAST FIL 1,PETERSON RD AND HIGHWAY 24,COLORADO SPRINGS,CO,80923,110071850224,,38.841648,-104.700508,COR425175,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071850224,
CIMARRON MIDDLE SCHOOL POND IMPROVEMENTS,12130 CANTERBERRY PARKWAY,PARKER,CO,80134,110071310437,,39.493766,-104.724289,COR417269,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071310437,
CIMARRON MOUNTAIN CLUB,1107 CR 858,CIMARRON,CO,81220,110064723296,,38.288734,-107.557392,COR03M762 COR402174,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110064723296,
CIMARRON PEAK SUBDIVISION,NE OF STARLIGHT DRIVE & N TURKEY CREEK ROAD,UNINCORPORATED,CO,80465,110072190920,,39.59117,-105.2367,COR430519,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072190920,
CIMARRON WHEAT RIDGE,11711 W 49 AVE,WHEAT RIDGE,CO,80033,110071511177,,39.78717,-105.12964,CONOX0869,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071511177,
CINNAMON HEIGHTS,117 CINNAMON DR,BAYFIELD,CO,81122,110071906127,,37.233653,-107.585469,COR426265,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071906127,
CINTAS #737,523 10TH STREET,GREELEY,CO,80631,110045490189,,40.42255,-104.68657,COP900565 COPIU003P,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110045490189,
